Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Roundness,Aspect_Ratio,Solidity,Convexity,Particle_Count,Target
RRC_Lx2_sh_DMSO_021023_4x_9.tif,859.0484,120.8291,35.8368,0.7394,1.0207,0.9667,1.1318,1,Healthy
RRC_Lx2_sh_REG+_28.09.23_4x_30.tif,592.4911,96.0784,30.0015,0.8066,1.0536,0.9787,1.0877,1,Healthy
RRC_Lx2_scr_REG+TGFB_28.09.23_4x_23.tif,497.5142,87.0747,29.082,0.8246,1.2282,0.9807,1.0687,0,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_4x_21.tif,1149.2056,136.8398,40.2677,0.7712,1.0618,0.9736,1.1152,2,Healthy
RRC_Lx2_sh_DMSO_28.09.23_4x_13.tif,528.0519,90.8875,28.2327,0.8033,1.0135,0.9767,1.0854,4,Healthy
RRC_Lx2_scr_DMSO_28.09.23_4x_11.tif,488.3585,87.5305,26.2776,0.801,1.0345,0.9733,1.095,5,Healthy
RRC_Lx2_scr_REG+_28.09.23_4x_32.tif,6.1131,141.5051,23.7068,0.0038,1.0143,0.0154,1.9801,4,Healthy
RRC_Lx2_scr_REG+_28.09.23_4x_26.tif,565.2432,95.5431,29.8219,0.7781,1.0293,0.9704,1.095,2,Healthy
Huh7_Lx2_scr_DMSO+TGFB_021023_4x_24.tif,979.0738,126.5981,38.4636,0.7677,1.0768,0.9706,1.1105,2,Healthy
RRC_Lx2_scr_DMSO_28.09.23_4x_10.tif,671.8964,106.5569,32.8838,0.7436,1.1721,0.956,1.1141,1,Healthy
RRC_Lx2_sh_DMSO_28.09.23_4x_12.tif,594.9993,97.6439,30.7352,0.7842,1.0596,0.9726,1.0894,3,Healthy
RRC_Lx2_sh_DMSO+TGFB_021023_4x_8.tif,745.5871,107.435,32.5216,0.8117,1.0061,0.979,1.0897,4,Healthy
Huh7_Lx2_sh_DMSO_28.09.23_4x_8.tif,430.888,88.2323,26.5889,0.6955,1.1422,0.9427,1.139,1,Healthy
RRC_Lx2_sh_REG+_28.09.23_4x_25.tif,609.0542,99.3619,30.8707,0.7752,1.1406,0.9685,1.0968,3,Healthy
RRC_Lx2_sh_REG+_28.09.23_4x_31.tif,587.0236,97.6616,31.4315,0.7734,1.0048,0.9711,1.0913,3,Healthy
RRC_Lx2_scr_DMSO+TGFB_021023_4x_4.tif,792.6323,111.9082,33.0456,0.7953,1.0146,0.9777,1.103,4,Healthy
RRC_Lx2_sh_REG+_28.09.23_4x_27.tif,564.715,93.9092,29.4613,0.8047,1.0249,0.9741,1.0865,2,Healthy
RRC_Lx2_scr_REG+TGFB_28.09.23_4x_20.tif,404.4124,80.3421,24.7694,0.7873,1.1272,0.9678,1.0967,1,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_4x_22.tif,896.1903,117.3391,35.6741,0.8179,1.0403,0.9834,1.0902,0,Healthy
RRC_Lx2_sh_DMSO_28.09.23_4x_10.tif,622.967,99.2606,31.0309,0.7946,1.014,0.9789,1.0921,1,Healthy
