Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Roundness,Aspect_Ratio,Solidity,Convexity,Particle_Count,Target
RRC_Lx2_scr_REG+TGFB_061023_10x_23.tif,4719.9429,992.0259,110.7228,0.0603,1.3049,0.7773,3.2861,18,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_10x_22.tif,3995.4937,499.189,86.1945,0.2015,1.0614,0.8586,1.9858,10,Extremely Death
HuH7_Lx2_sh_REG+TGFB_051023_10x_28.tif,3368.4215,613.0462,82.0734,0.1126,1.1063,0.8618,2.6816,10,Extremely Death
HuH7_Lx2_sh_REG+_051023_10x_17.tif,4675.4369,1143.1995,100.5968,0.045,1.266,0.8058,4.0629,28,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_10x_23.tif,3695.2572,466.0317,87.431,0.2138,1.102,0.8995,1.9471,16,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_10x_22.tif,4647.6206,903.7449,114.3479,0.0715,1.2755,0.7963,3.044,25,Extremely Death
RRC+LX2_SCR_DMSO_6_200623_10x.tif,2350.7817,531.6857,97.882,0.1045,1.1626,0.6596,2.1292,4,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_10x_21.tif,4037.3648,505.936,99.2299,0.1982,1.5139,0.8702,1.9748,15,Extremely Death
RRC_Lx2_scr_DMSO_061023_10x_11.tif,3262.0154,763.2505,86.6497,0.0704,1.1197,0.8011,3.1731,31,Extremely Death
HuH7+LX2_SH_REG_2_170623_10x.tif,4616.0111,337.9325,108.1177,0.5079,1.1661,0.8978,1.2154,16,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_10x_21.tif,4239.0659,1112.9001,109.4406,0.043,1.2808,0.686,3.7155,17,Extremely Death
RRC_Lx2_scr_REG+_021023_10x_30.tif,3931.9935,493.0819,94.0959,0.2032,1.2098,0.8717,1.9198,6,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_10x_19.tif,4701.9558,1236.7494,112.7613,0.0386,1.327,0.7166,3.9579,25,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_10x_24.tif,4474.4061,477.3981,92.6286,0.2467,1.0011,0.9345,1.8804,4,Extremely Death
HuH7_Lx2_scr_REG+_051023_10x_28.tif,6136.9075,927.8811,125.2738,0.0896,1.3449,0.8793,2.8111,65,Extremely Death
HuH7+LX2_SH_REG_2_200623_10x.tif,5365.8239,342.8727,106.0589,0.5736,1.5727,0.9144,1.1854,5,Extremely Death
RRC_Lx2_sh_DMSO+TGFB_061023_10x_1.tif,6026.8069,442.9666,123.0398,0.386,1.3449,0.9403,1.4319,10,Extremely Death
RRC+LX2_SH_REG_1_170623_10x.tif,4274.2587,624.5619,96.762,0.1377,1.4106,0.9107,2.452,4,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_10x_24.tif,2771.2166,403.6212,71.3523,0.2138,1.0959,0.8675,1.9469,13,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_10x_18.tif,5340.3584,1279.4672,120.2066,0.041,1.3449,0.7915,4.0112,48,Extremely Death
RRC_Lx2_scr_REG+_021023_10x_31.tif,4793.4267,542.7449,92.2614,0.2045,1.2891,0.9143,2.0637,8,Extremely Death
RRC_Lx2_scr_REG+_021023_10x_27.tif,2696.9884,419.8825,67.6676,0.1922,1.2112,0.8992,2.1278,26,Extremely Death
RRC_Lx2_sh_DMSO+TGFB_061023_10x_3.tif,5732.4889,1068.6719,121.141,0.0631,1.3365,0.8439,3.4003,24,Extremely Death
RRC_Lx2_sh_REG+_021023_10x_31.tif,6677.0372,653.5362,113.8196,0.1965,1.3449,0.9475,2.0438,138,Extremely Death
RRC_Lx2_scr_REG+_021023_10x_26.tif,4997.3889,570.9706,108.1041,0.1926,1.5848,0.8642,1.9567,14,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_10x_21.tif,3768.2251,519.2932,84.6801,0.1756,1.267,0.8653,2.151,25,Extremely Death
RRC_Lx2_scr_DMSO+TGFB_061023_10x_4.tif,5702.0903,440.905,117.3451,0.3686,1.307,0.9272,1.4686,3,Extremely Death
HUH7+LX2scr_DMSO_2_140623.tif,4647.3581,805.4858,98.0398,0.09,1.3069,0.8263,2.9066,36,Extremely Death
RRC+LX2_SH_REG_5_200623_10x.tif,4280.4058,397.6931,101.7602,0.3401,1.5748,0.8532,1.4738,2,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_10x_21.tif,5058.8534,1295.1205,109.0052,0.0379,1.1809,0.7959,4.2079,34,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_10x_23.tif,7082.7006,572.9721,122.4103,0.2711,1.3449,0.9747,1.7214,105,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_10x_22.tif,4172.5602,503.3443,89.629,0.207,1.2105,0.8755,2.0018,19,Extremely Death
RRC_Lx2_scr_DMSO+TGFB_061023_10x_7.tif,6217.8943,929.7964,119.7943,0.0904,1.3113,0.9032,2.8896,15,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_10x_23.tif,4211.2497,640.8783,95.5083,0.1288,1.1935,0.8009,2.3906,27,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_10x_22.tif,5666.8481,1384.5131,124.8327,0.0371,1.3449,0.7922,4.1369,45,Extremely Death
RRC_Lx2_scr_REG+_061023_10x_32.tif,6412.9325,648.854,125.2738,0.1914,1.3449,0.9241,1.9648,13,Extremely Death
RRC_Lx2_scr_REG+_061023_10x_26.tif,6831.0939,926.6486,124.7644,0.1,1.3449,0.9322,2.738,60,Extremely Death
RRC_Lx2_sh_REG+_061023_10x_25.tif,4547.9547,535.8861,97.0666,0.199,1.1676,0.8847,1.9701,12,Extremely Death
RRC_Lx2_sh_REG+_061023_10x_31.tif,7457.4557,476.1894,125.2738,0.4133,1.3449,0.9925,1.3598,12,Extremely Death
HuH7_Lx2_sh_DMSO+TGFB_051023_10x_12.tif,6149.8441,903.7298,125.2738,0.0946,1.3449,0.8734,2.7725,6,Extremely Death
RRC_Lx2_scr_DMSO+TGFB_061023_10x_2.tif,5076.6212,861.7511,101.1736,0.0859,1.2095,0.8683,3.0094,16,Extremely Death
RRC_Lx2_sh_REG+_061023_10x_30.tif,3683.1237,527.7373,89.252,0.1662,1.1477,0.8352,2.1151,10,Extremely Death
RRC_Lx2_scr_REG+_061023_10x_27.tif,4336.3379,1515.8659,120.8772,0.0237,1.3449,0.6366,4.7358,17,Extremely Death
RRC_Lx2_scr_REG+_061023_10x_25.tif,4729.9883,1599.4348,121.8482,0.0232,1.3449,0.6738,4.9575,52,Extremely Death
RRC_Lx2_scr_REG+_061023_10x_31.tif,6492.3348,1054.7952,125.0397,0.0733,1.3449,0.8656,3.0461,22,Extremely Death
RRC_Lx2_sh_REG+_061023_10x_32.tif,3149.6599,603.7529,95.5625,0.1086,1.6243,0.7891,2.4708,11,Extremely Death
RRC_Lx2_sh_REG+_061023_10x_26.tif,6683.7681,1151.1959,125.2738,0.0634,1.3449,0.8895,3.2863,81,Extremely Death
