Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Roundness,Aspect_Ratio,Solidity,Convexity,Particle_Count,Target
HuH7_Lx2_scr_REG+_051023_4x_27.tif,2603.6951,496.5342,73.1143,0.1327,1.2793,0.8031,2.3761,31,Extremely Death
HuH7_Lx2_sh_REG+TGFB_051023_4x_25.tif,1857.7929,365.7912,76.9432,0.1745,1.7363,0.7858,1.9428,6,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_4x_21.tif,773.3632,193.1602,40.0138,0.2605,1.3085,0.7943,1.6938,3,Extremely Death
RRC_Lx2_sh_DMSO+TGFB_061023_4x_1.tif,2042.4737,290.9422,67.9758,0.3032,1.6241,0.876,1.6082,8,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_4x_21.tif,3045.8269,600.893,86.4814,0.106,1.051,0.7511,2.5221,8,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_4x_22.tif,807.827,141.9506,39.8722,0.5038,1.3621,0.9153,1.2973,10,Extremely Death
HuH7_Lx2_sh_REG+TGFB_051023_4x_26.tif,1841.5356,366.3134,60.8301,0.1725,1.0894,0.8122,2.1175,14,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_29.tif,3854.1111,822.784,101.606,0.0715,1.1525,0.6829,2.92,68,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_4x_23.tif,126.6791,270.9977,38.6896,0.0217,1.0338,0.1359,2.4026,10,Extremely Death
HuH7_Lx2_sh_REG+_051023_4x_20.tif,1694.2098,334.0297,58.8467,0.1908,1.3196,0.8395,2.0087,5,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_29.tif,3607.7062,545.0273,94.9999,0.1526,1.271,0.8236,2.2048,9,Extremely Death
Huh7_Lx2_sh_REG+TGFB_021023_4x_22.tif,1197.82,214.173,54.1582,0.3281,1.6103,0.8219,1.4836,13,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_28.tif,2661.0265,521.9061,83.1046,0.1228,1.0595,0.7685,2.2688,14,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_4x_22.tif,2144.7313,345.7649,65.0146,0.2254,1.0482,0.8452,1.8809,5,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_28.tif,4358.523,534.0982,90.8964,0.192,1.1724,0.8565,2.0518,13,Extremely Death
RRC_Lx2_scr_REG+_021023_4x_29.tif,875.2069,168.1272,49.6462,0.3891,1.7251,0.8506,1.3641,14,Extremely Death
HuH7_Lx2_sh_REG+TGFB_051023_4x_27.tif,2018.5094,362.5221,67.2308,0.193,1.1076,0.8364,1.9926,10,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_4x_23.tif,891.6526,242.0374,49.2303,0.1913,1.4606,0.6997,1.8055,8,Extremely Death
HuH7_Lx2_sh_REG+_051023_4x_19.tif,1450.1278,354.1295,52.7083,0.1453,1.1846,0.8126,2.3051,3,Extremely Death
Huh7_Lx2_sh_REG+TGFB_021023_4x_27.tif,1545.4012,304.9234,58.7198,0.2089,1.0913,0.8132,1.9037,2,Extremely Death
HuH7_Lx2_sh_REG+_051023_4x_30.tif,326.3754,479.4648,44.2402,0.0178,1.2162,0.3182,4.032,4,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_4x_18.tif,641.8066,127.5309,35.2475,0.4959,1.3242,0.9068,1.31,6,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_4x_19.tif,1957.0202,480.0615,77.9269,0.1067,1.3646,0.7516,2.4233,7,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_4x_18.tif,2016.2699,861.2808,78.268,0.0342,1.0918,0.542,3.8568,16,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_4x_24.tif,52.4323,207.1148,28.8426,0.0154,1.0556,0.1012,2.4883,15,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_4x_19.tif,764.4299,162.6931,40.9276,0.3629,1.4393,0.8697,1.4872,3,Extremely Death
HuH7_Lx2_sh_REG+TGFB_051023_4x_21.tif,1096.9987,330.5917,52.8833,0.1261,1.2215,0.7411,2.3076,7,Extremely Death
HuH7_Lx2_scr_DMSO_051023_4x_19.tif,217.5661,477.4938,75.7953,0.012,1.6068,0.0723,2.3075,15,Extremely Death
HuH7_Lx2_scr_REG+TGFB_051023_4x_6.tif,1630.8826,296.837,62.2465,0.2326,1.5523,0.8056,1.7504,17,Extremely Death
HuH7_Lx2_sh_DMSO_051023_4x_7.tif,2676.6938,274.4722,78.5457,0.4465,1.2839,0.839,1.2981,11,Extremely Death
HuH7_Lx2_sh_DMSO+TGFB_051023_4x_12.tif,421.1083,605.5499,81.9509,0.0144,1.569,0.1255,2.7776,13,Extremely Death
HuH7_Lx2_scr_DMSO_051023_4x_16.tif,865.1245,562.8945,73.8751,0.0343,1.0457,0.2423,2.6078,4,Extremely Death
HuH7_Lx2_scr_REG+TGFB_051023_4x_31.tif,1314.3177,311.358,56.8087,0.1704,1.1546,0.7419,1.9704,10,Extremely Death
HuH7_Lx2_sh_REG+_051023_4x_17.tif,1173.9607,209.4346,49.1251,0.3363,1.3405,0.8679,1.536,3,Extremely Death
RRC_Lx2_scr_REG+TGFB_021023_4x_17.tif,799.706,143.71,37.952,0.4866,1.2612,0.8953,1.3223,5,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_4x_24.tif,2005.9713,394.6193,65.69,0.1619,1.0428,0.7717,2.0984,11,Extremely Death
RRC_Lx2_scr_REG+TGFB_061023_4x_17.tif,1949.4862,922.9501,89.8498,0.0288,1.0982,0.4453,3.6372,39,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_4x_24.tif,906.8504,165.0018,40.8666,0.4186,1.2228,0.8873,1.4212,4,Extremely Death
HuH7_Lx2_scr_REG+_051023_4x_28.tif,1640.0322,332.3149,59.2996,0.1866,1.3399,0.8075,2.0087,10,Extremely Death
RRC_Lx2_scr_REG+_021023_4x_30.tif,853.9393,144.3802,41.0493,0.5148,1.3091,0.9046,1.2562,15,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_31.tif,2568.4405,335.3878,67.9858,0.2869,1.007,0.8827,1.711,1,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_25.tif,1522.3297,343.0985,59.2401,0.1625,1.1893,0.737,2.0312,12,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_4x_21.tif,2226.2804,502.4964,73.7258,0.1108,1.1623,0.7572,2.4508,8,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_31.tif,6412.3672,694.4226,115.3253,0.1671,1.3449,0.9055,2.1465,35,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_25.tif,2401.4039,451.1192,73.9578,0.1483,1.0949,0.8057,2.2371,7,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_30.tif,3725.1276,756.0992,94.3121,0.0819,1.1839,0.7395,2.8665,14,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_4x_20.tif,706.8358,472.6665,68.5913,0.0398,2.2622,0.5084,3.0168,7,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_30.tif,3944.0653,747.1795,101.2044,0.0888,1.1652,0.7107,2.6785,26,Extremely Death
RRC_Lx2_scr_REG+_021023_4x_31.tif,1050.3922,307.0918,57.0526,0.14,1.2093,0.711,2.0966,5,Extremely Death
RRC_Lx2_scr_REG+_021023_4x_25.tif,807.3358,235.7579,45.7902,0.1825,1.3845,0.7331,1.902,14,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_4x_21.tif,965.1765,311.5125,51.8256,0.125,1.5852,0.7494,2.3237,5,Extremely Death
RRC_Lx2_sh_REG+_021023_4x_31.tif,1368.9494,204.6042,47.7968,0.4109,1.0226,0.9023,1.449,2,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_4x_23.tif,740.2308,134.8417,40.0837,0.5116,1.4277,0.9023,1.2586,7,Extremely Death
RRC_Lx2_scr_REG+_021023_4x_27.tif,587.9812,395.2184,51.2393,0.0473,1.052,0.4121,2.7822,5,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_26.tif,4684.1663,500.9974,93.5814,0.2345,1.2015,0.8807,1.8867,68,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_32.tif,2412.4748,506.0101,81.929,0.1184,1.3313,0.7147,2.2744,7,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_4x_22.tif,2418.7362,351.5813,69.5742,0.2459,1.3919,0.8798,1.8274,8,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_26.tif,3199.6427,528.4009,94.1289,0.144,1.451,0.7828,2.1473,2,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_32.tif,2829.3451,493.4387,77.6318,0.146,1.2229,0.7559,2.1893,13,Extremely Death
RRC_Lx2_scr_REG+_061023_4x_27.tif,2667.4701,502.0643,81.1746,0.133,1.4477,0.8091,2.3481,6,Extremely Death
RRC_Lx2_sh_REG+TGFB_061023_4x_23.tif,2620.2242,384.2539,74.994,0.223,1.2066,0.8436,1.8685,8,Extremely Death
RRC_Lx2_sh_REG+_061023_4x_27.tif,2144.7159,449.2728,75.1727,0.1335,1.0437,0.7493,2.2022,11,Extremely Death
RRC_Lx2_scr_REG+_021023_4x_26.tif,1080.1329,201.0188,48.8242,0.3359,1.2606,0.8532,1.5276,5,Extremely Death
RRC_Lx2_scr_REG+_021023_4x_32.tif,606.1382,131.013,33.685,0.4438,1.074,0.8689,1.3568,3,Extremely Death
RRC_Lx2_sh_REG+TGFB_021023_4x_22.tif,1176.9477,405.5614,51.0782,0.0899,1.1955,0.7379,2.7792,9,Extremely Death
