Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Particle_Count,Target
HuH7+LX2_SCR_REG_1_170623_10x (1).tif,2698.87580478,349.06374840631486,74.48313790283204,10,1
HuH7+LX2_SH_REG_2_170623_10x.tif,4616.011085040001,337.93246368620396,108.11769653320313,2,0
HuH7+LX2_SH_REG_2_200623_10x.tif,5365.8239122800005,342.8726945729256,106.05892727050782,0,1
Huh7_Scr_1_23.11.21_10X.tif,1663.45279776,202.45845676674844,50.89141794433594,7,0
Huh7_Scr_2_23.11.21_10X.tif,1527.7755292200002,230.22947543735506,59.876207739257815,2,
Huh7_Scr_3_23.11.21_10X (1).tif,1365.6627698400002,215.32109128654005,51.183769262695314,2,
Huh7_Scr_3_23.11.21_10X.tif,1365.6627698400002,215.32109128654005,51.183769262695314,2,
Huh7_Sh_2_23.11.21_10X.tif,2673.7932871800003,906.0489209574223,80.86918161621094,63,
Huh7_Sh_3_23.11.21_10X.tif,2076.5173813200004,472.26475040037633,71.9086664794922,26,
SRC_scr_1_27.11.21_10X.tif,1210.6330416,158.24519719047547,44.45910845947266,0,
SRC_scr_2_27.11.21_10X.tif,1272.3724848600002,181.72521179115773,48.36559178466797,1,
SRC_scr_3_27.11.21_10X.tif,968.1790014000001,149.70053776996136,41.83892296142578,1,
SRC_sh_1_27.11.21_10X.tif,555.7878154800001,116.74327458872796,32.20108489379883,3,
SRC_sh_2_27.11.21_10X.tif,689.1823278,108.06567584660054,32.312453283691404,0,
SRC_sh_3_27.11.21_10X.tif,651.73462326,106.97780312075615,31.15353264770508,3,
