Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Roundness,Aspect_Ratio,Solidity,Convexity,Particle_Count,Target
RRC_Lx2_sh_DMSO_061023_4x_12.tif,1054.2164,323.3393,53.6681,0.1267,1.2757,0.7359,2.2901,15,Slightly Death
HuH7_Lx2_sh_DMSO_051023_4x_8.tif,2974.1595,552.1157,85.5452,0.1226,1.4737,0.7844,2.3979,7,Slightly Death
HuH7_Lx2_scr_REG+TGFB_051023_4x_7.tif,690.3901,131.3307,34.7839,0.503,1.021,0.9036,1.3051,1,Slightly Death
HuH7_Lx2_sh_DMSO_021023_4x_8.tif,1927.2455,370.177,62.7735,0.1767,1.0767,0.8185,2.0795,4,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_4x_7.tif,574.5256,118.0957,30.5811,0.5177,1.0229,0.9082,1.3,1,Slightly Death
RRC_Lx2_scr_DMSO_021023_4x_13.tif,5420.1282,611.2581,100.2374,0.1823,1.2934,0.8672,2.1068,8,Slightly Death
RRC_Lx2_sh_DMSO_021023_4x_12.tif,4506.4851,601.1428,92.438,0.1567,1.1966,0.8327,2.2307,11,Slightly Death
RRC_Lx2_scr_DMSO_061023_4x_13.tif,6894.6837,536.1186,121.3413,0.3014,1.3449,0.9506,1.6273,1,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_4x_6.tif,672.3845,142.4031,34.9559,0.4167,1.1004,0.8736,1.4031,1,Slightly Death
RRC_Lx2_sh_DMSO_061023_4x_13.tif,6894.313,514.3683,119.9708,0.3275,1.3449,0.9556,1.5675,4,Slightly Death
Huh7_Lx2_sh_DMSO+TGFB_021023_4x_15.tif,1392.2373,356.6518,53.119,0.1375,1.1551,0.78,2.3101,1,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_4x_11.tif,602.5395,407.8462,55.1481,0.0455,1.2488,0.3252,2.5816,6,Slightly Death
HuH7_Lx2_scr_REG+TGFB_051023_4x_8.tif,1015.2087,323.6294,49.0633,0.1218,1.1345,0.7043,2.2914,4,Slightly Death
HuH7_Lx2_sh_DMSO_021023_4x_7.tif,1222.7913,320.5808,52.6641,0.1495,1.2491,0.7852,2.1949,9,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_4x_13.tif,1231.2674,167.4668,45.2497,0.5517,1.137,0.9225,1.2666,2,Slightly Death
Huh7_Lx2_sh_DMSO+TGFB_021023_4x_13.tif,1100.4306,135.9217,40.7519,0.7485,1.1288,0.9725,1.1265,8,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_4x_16.tif,1218.0126,262.8331,48.3722,0.2216,1.2175,0.8395,1.901,12,Slightly Death
Huh7_Lx2_sh_DMSO_021023_4x_3.tif,2255.9346,269.7322,65.4591,0.3896,1.0579,0.8785,1.4574,11,Slightly Death
HuH7_Lx2_sh_DMSO_051023_4x_3.tif,2140.6879,200.5859,58.6193,0.6686,1.0003,0.9589,1.1808,7,Slightly Death
HuH7_Lx2_sh_DMSO_051023_4x_1.tif,2534.888,548.8053,73.9046,0.1058,1.0656,0.7846,2.5818,4,Slightly Death
Huh7_Lx2_sh_DMSO_021023_4x_1.tif,1024.6641,287.6663,48.668,0.1556,1.1067,0.7848,2.1066,5,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_4x_14.tif,925.0105,123.3173,38.4698,0.7644,1.1599,0.9678,1.1105,1,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_4x_15.tif,2496.3685,440.7334,71.1812,0.1615,1.0135,0.816,2.1536,8,Slightly Death
HuH7_Lx2_scr_DMSO_051023_4x_17.tif,1315.5008,308.6862,53.0366,0.1735,1.1976,0.8203,2.0765,8,Slightly Death
HuH7_Lx2_scr_REG+_051023_4x_12.tif,1337.238,403.5481,60.3519,0.1032,1.0382,0.7293,2.4863,2,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_061023_4x_6.tif,7111.2706,415.3701,118.9063,0.5179,1.3449,0.9801,1.2521,22,Slightly Death
HuH7_Lx2_scr_REG+_051023_4x_11.tif,1159.8935,329.4676,49.4713,0.1343,1.2993,0.8002,2.3458,5,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_061023_4x_5.tif,4887.31,662.9064,94.4798,0.1398,1.1882,0.8523,2.4002,21,Slightly Death
RRC_Lx2_sh_REG+TGFB_061023_4x_18.tif,686.1428,373.8503,48.8102,0.0617,1.2159,0.5662,2.8062,4,Slightly Death
HuH7_Lx2_sh_REG+_051023_4x_29.tif,45.4482,136.5788,19.8283,0.0306,1.0406,0.1844,2.3915,3,Slightly Death
RRC_Lx2_sh_REG+TGFB_021023_4x_18.tif,377.6494,176.7792,30.3121,0.1519,1.3726,0.7253,2.0711,1,Slightly Death
HuH7_Lx2_scr_REG+_051023_4x_10.tif,1421.2644,356.0764,57.6487,0.1409,1.146,0.7876,2.2591,1,Slightly Death
RRC_Lx2_sh_REG+_021023_4x_30.tif,105.6616,290.2859,43.5673,0.0158,1.4737,0.1018,2.4456,2,Slightly Death
RRC_Lx2_sh_REG+TGFB_021023_4x_20.tif,428.9111,102.8388,27.5276,0.5096,1.098,0.8877,1.2815,3,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_4x_32.tif,737.321,155.6237,35.8515,0.3826,1.0612,0.8973,1.4895,1,Slightly Death
RRC_Lx2_sh_REG+_021023_4x_25.tif,849.3707,161.8978,39.3103,0.4072,1.2239,0.88,1.4182,3,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_061023_4x_1.tif,4152.3552,874.1296,94.7246,0.0683,1.1633,0.782,3.2912,20,Slightly Death
RRC_Lx2_sh_REG+_021023_4x_27.tif,996.2115,205.5888,45.2821,0.2962,1.3557,0.8692,1.6486,6,Slightly Death
RRC_Lx2_scr_DMSO_061023_4x_9.tif,6066.7783,617.1379,110.4809,0.2002,1.3449,0.8999,1.9809,5,Slightly Death
HuH7_Lx2_scr_DMSO+TGFB_051023_4x_2.tif,1718.4336,404.409,56.9332,0.132,1.0766,0.8159,2.427,7,Slightly Death
Huh7_Lx2_scr_REG+_021023_4x_12.tif,668.8136,115.3963,32.4796,0.6311,1.0254,0.947,1.2115,1,Slightly Death
HuH7_Lx2_scr_DMSO+TGFB_051023_4x_3.tif,1409.3965,295.213,49.7681,0.2032,1.0702,0.8283,1.977,6,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_4x_31.tif,667.7788,113.5922,33.6658,0.6503,1.0969,0.9459,1.1825,8,Slightly Death
RRC_Lx2_sh_REG+_021023_4x_26.tif,941.6817,166.6138,41.2008,0.4263,1.0479,0.8835,1.4044,14,Slightly Death
RRC_Lx2_sh_REG+_021023_4x_32.tif,799.0944,173.9641,40.1771,0.3318,1.2287,0.8621,1.5581,6,Slightly Death
