Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Roundness,Aspect_Ratio,Solidity,Convexity,Particle_Count,Target
RRC_Lx2_scr_DMSO_061023_10x_12.tif,6385.7279,737.6698,122.9033,0.1475,1.327,0.9259,2.2594,20,Slightly Death
Huh7_Lx2_sh_REG+_021023_10x_29.tif,2049.8348,338.7782,61.5322,0.2244,1.0841,0.8914,1.9356,14,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_061023_10x_7.tif,4990.0495,517.3531,91.5215,0.2343,1.2266,0.9088,1.9146,11,Slightly Death
HuH7_Lx2_sh_DMSO_021023_10x_8.tif,4923.4542,581.744,98.9276,0.1828,1.082,0.8954,2.0665,7,Slightly Death
RRC_Lx2_sh_DMSO_061023_10x_10.tif,4854.2919,490.4574,91.0083,0.2536,1.1125,0.9338,1.8524,6,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_061023_10x_6.tif,5433.5529,644.492,98.4712,0.1644,1.3028,0.9065,2.279,11,Slightly Death
RRC_Lx2_scr_DMSO_061023_10x_13.tif,6894.5848,871.2479,118.1212,0.1141,1.3449,0.9388,2.6078,8,Slightly Death
Huh7_Lx2_scr_REG+_021023_10x_10.tif,3748.0757,500.7457,77.1529,0.1878,1.0093,0.9054,2.17,7,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_021023_10x_7.tif,4748.5252,430.2016,89.8626,0.3224,1.0726,0.9558,1.6789,11,Slightly Death
HuH7+LX2_SH_REG_4_200623_10x.tif,5042.6116,790.2671,98.1282,0.1015,1.1735,0.8852,2.8604,1,Slightly Death
RRC_Lx2_scr_DMSO_28.09.23_10x_13.tif,3598.0655,241.8615,74.5935,0.7729,1.0709,0.9768,1.1079,13,Slightly Death
Huh7_Lx2_scr_REG+_021023_10x_12.tif,3785.3195,454.5842,78.9846,0.2302,1.0019,0.9241,1.9795,18,Slightly Death
Huh7_Lx2_sh_REG+TGFB_021023_10x_28.tif,3329.1482,467.941,75.6242,0.1911,1.0378,0.9001,2.1314,16,Slightly Death
HuH7_Lx2_scr_REG+_051023_10x_11.tif,4501.657,1017.018,102.5326,0.0547,1.1777,0.8126,3.6697,28,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_061023_10x_4.tif,5062.0166,689.6291,97.5962,0.1338,1.2355,0.8566,2.441,13,Slightly Death
RRC_Lx2_REG+_scr_021023_10x_32.tif,3147.3555,407.5196,72.7746,0.2382,1.1034,0.895,1.8929,13,Slightly Death
RRC_Lx2_sh_DMSO_061023_10x_12.tif,5119.4685,365.1521,89.1274,0.4825,1.1441,0.9693,1.3843,4,Slightly Death
RRC_Lx2_sh_DMSO_061023_10x_13.tif,5668.0034,668.81,99.8365,0.1592,1.2734,0.9216,2.3327,11,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_061023_10x_5.tif,5819.3356,732.3317,104.8727,0.1364,1.3113,0.8927,2.4611,5,Slightly Death
HuH7_Lx2_scr_REG+_051023_10x_10.tif,4302.4333,901.8527,101.8409,0.0665,1.0694,0.7993,3.2293,12,Slightly Death
RRC_Lx2_sh_REG+TGFB_021023_10x_20.tif,2334.9291,389.1176,63.5389,0.1938,1.0007,0.8752,2.0693,13,Slightly Death
RRC+LX2_SCR_REG_1_170623_10x.tif,3196.2016,235.0414,74.3712,0.727,1.1754,0.9664,1.1247,5,Slightly Death
RRC+LX2_SCR_REG_1_200623_10x.tif,3133.866,307.1172,76.9921,0.4175,1.0807,0.8995,1.414,5,Slightly Death
RRC_Lx2_sh_REG+_021023_10x_27.tif,4358.421,428.4102,85.9741,0.2984,1.0114,0.9256,1.7183,15,Slightly Death
RRC_Lx2_scr_DMSO_061023_10x_14.tif,6519.7464,736.937,120.8097,0.1509,1.3186,0.9327,2.2427,12,Slightly Death
RRC_Lx2_sh_DMSO_061023_10x_16.tif,6207.0736,854.5957,108.2129,0.1068,1.3449,0.9059,2.7521,8,Slightly Death
RRC_Lx2_scr_DMSO_061023_10x_15.tif,6530.4435,748.5118,113.529,0.1465,1.3449,0.9185,2.3049,16,Slightly Death
RRC_Lx2_sh_REG+_021023_10x_32.tif,3683.3276,509.993,91.026,0.178,1.4579,0.8457,2.0758,17,Slightly Death
RRC_Lx2_sh_REG+_021023_10x_26.tif,4713.7927,416.9714,85.6246,0.3407,1.1507,0.9313,1.6211,6,Slightly Death
HuH7_Lx2_sh_DMSO_051023_10x_8.tif,5115.9625,523.4542,92.803,0.2346,1.1409,0.9349,1.9243,24,Slightly Death
RRC_Lx2_sh_REG+_021023_10x_30.tif,4311.5983,505.3219,99.0084,0.2122,1.0315,0.893,1.9077,18,Slightly Death
Huh7_Lx2_scr_REG+_021023_10x_28.tif,2758.3232,338.9346,68.7306,0.3017,1.2177,0.9166,1.7093,17,Slightly Death
RRC+LX2_SCR_DMSO_7_200623_10x.tif,4508.3879,807.0053,102.0477,0.087,1.4587,0.8474,2.9624,6,Slightly Death
RRC_Lx2_sh_DMSO_061023_10x_14.tif,5858.8715,609.3734,106.1353,0.1983,1.2776,0.9278,2.0457,4,Slightly Death
RRC_Lx2_scr_DMSO_061023_10x_16.tif,6035.0082,983.3885,115.6578,0.0784,1.3449,0.8764,3.0804,19,Slightly Death
RRC_Lx2_sh_REG+_021023_10x_25.tif,4511.1217,532.4315,91.7454,0.2,1.2519,0.9049,2.0555,13,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_10x_14.tif,5251.198,468.5467,94.8747,0.3006,1.225,0.9519,1.7424,7,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_021023_10x_5.tif,4892.8053,569.3436,92.4852,0.1897,1.0946,0.9316,2.1543,7,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_10x_7.tif,3294.7709,437.6772,73.7449,0.2161,1.0811,0.9191,2.0217,12,Slightly Death
RRC_Lx2_scr_DMSO_021023_10x_10.tif,5288.4851,729.6772,95.4864,0.1248,1.163,0.9182,2.617,53,Slightly Death
RRC+LX2_SCR_DMSO_4_170623_10x.tif,4574.5384,327.4963,89.3842,0.536,1.2291,0.9178,1.2745,10,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_061023_10x_5.tif,4719.9336,493.208,99.5692,0.2438,1.2197,0.9016,1.8429,7,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_10x_6.tif,3605.5717,479.8171,78.7635,0.1968,1.1598,0.9131,2.1242,10,Slightly Death
RRC+LX2_SH_REG_4_170623_10x.tif,3059.6687,305.3834,74.0506,0.4123,1.1394,0.9242,1.4492,9,Slightly Death
RRC+LX2_SCR_REG_2_170623_10x.tif,2896.6725,277.2636,70.7287,0.4735,1.2973,0.9446,1.3718,1,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_021023_10x_6.tif,5613.1987,1172.0324,108.9842,0.0514,1.3091,0.8662,3.8857,9,Slightly Death
RRC_Lx2_sh_DMSO_021023_10x_10.tif,4910.1716,1023.7863,95.3397,0.0589,1.1842,0.8698,3.7367,9,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_061023_10x_6.tif,5484.6848,715.1562,98.5669,0.1348,1.2355,0.9106,2.5277,13,Slightly Death
RRC_Lx2_scr_DMSO_021023_10x_12.tif,4676.4439,780.6125,114.4114,0.0964,1.3095,0.8731,2.7665,9,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_10x_5.tif,2477.1581,357.5836,61.832,0.2434,1.0111,0.9191,1.9177,13,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_10x_16.tif,5187.2716,465.243,92.9063,0.3012,1.1872,0.921,1.7023,5,Slightly Death
HuH7_Lx2_scr_REG+TGFB_051023_10x_5.tif,3129.5816,452.9951,75.6974,0.1917,1.0348,0.8857,2.0831,25,Slightly Death
RRC+LX2_SCR_REG_3_170623_10x.tif,2642.2888,227.14,62.8835,0.6436,1.014,0.9725,1.2101,6,Slightly Death
HuH7+LX2_SH_REG_1_200623_10x.tif,5274.3098,1165.7623,105.2032,0.0488,1.3186,0.8164,3.9128,2,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_021023_10x_2.tif,5832.9982,1133.4102,108.6376,0.0571,1.2881,0.8918,3.7076,13,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_10x_29.tif,2463.6067,417.1044,62.2907,0.1779,1.0124,0.8846,2.2081,20,Slightly Death
HuH7_Lx2_sh_DMSO+TGFB_051023_10x_11.tif,5647.5698,334.7904,92.4895,0.6332,1.1735,0.9857,1.2217,10,Slightly Death
RRC_Lx2_scr_REG+TGFB_021023_10x_24.tif,2037.3244,339.8497,57.3092,0.2217,1.1215,0.904,1.9892,11,Slightly Death
Huh7_Lx2_scr_REG+_021023_10x_9.tif,3648.212,456.5404,74.2926,0.22,1.0154,0.9323,2.0386,13,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_061023_10x_1.tif,5018.3785,754.5968,93.3043,0.1107,1.2265,0.8819,2.7597,25,Slightly Death
HUH7+LX2sh_REG_5_140623.tif,3209.6047,356.5922,69.7309,0.3172,1.0568,0.9278,1.685,14,Slightly Death
RRC_Lx2_scr_DMSO_021023_10x_14.tif,4883.8936,979.0674,97.6098,0.064,1.2219,0.8358,3.4832,16,Slightly Death
RRC_Lx2_sh_REG+TGFB_061023_10x_18.tif,2113.1063,542.7664,78.2236,0.0901,1.0773,0.7571,2.7276,11,Slightly Death
